date,equity,cash,n_positions,buyhold_equity
2024-01-31,999559.6556738182,118871.00331036845,3,999500.0
2024-02-01,1000915.8704136717,118871.00331036845,3,1004424.7695235043
2024-02-02,1000572.8605430312,118871.00331036845,3,1003208.6457716031
2024-02-05,997696.9440239207,118871.00331036845,3,1010932.3274454131
2024-02-06,988323.046868772,118871.00331036845,3,1006815.1363304592
2024-02-07,982732.665905617,118871.00331036845,3,1006406.0183969577
2024-02-08,993670.8070602834,118871.00331036845,3,1006359.3390884413
2024-02-09,999007.6361165922,118871.00331036845,3,1012439.2837208125
2024-02-12,992044.4158563167,118871.00331036845,3,1011177.512955062
2024-02-13,986870.5068541027,118871.00331036845,3,1009417.3197324376
2024-02-14,990804.0790306169,118871.00331036845,3,1003609.6912221685
2024-02-15,986935.0194129399,118871.00331036845,3,1001607.3045243637
2024-02-16,987013.7880428974,118871.00331036845,3,1001172.2075272783
2024-02-19,988043.4827754551,118871.00331036845,3,1004864.9532391384
2024-02-20,984229.0202279189,118871.00331036845,3,1005000.990034137
2024-02-21,1002981.2259873862,118871.00331036845,3,1007915.1931818835
2024-02-22,1002642.5731815952,118871.00331036845,3,1006807.8949464279
2024-02-23,1012607.9922044631,118871.00331036845,3,1007577.227632402
2024-02-26,1022964.5683078195,118871.00331036845,3,1011530.5036777244
2024-02-27,1019780.7473091015,118871.00331036845,3,1018295.6730721788
2024-02-28,1017519.6691429175,118871.00331036845,3,1018391.3612208948
2024-02-29,1027831.7431500838,118871.00331036845,3,1025196.1114267767
2024-03-01,1024140.5035679119,118871.00331036845,3,1027342.7077163332
2024-03-04,1022419.8673398604,118871.00331036845,3,1030818.6028538194
2024-03-05,1019405.3348066052,118871.00331036845,3,1030281.4368115265
2024-03-06,1001219.2147259403,118871.00331036845,3,1027251.7578394507
2024-03-07,1009258.2765232914,117645.4506065874,3,1023570.5946561282
2024-03-08,999892.3171440358,117645.4506065874,3,1022352.0215351579
2024-03-11,985497.7150142533,117645.4506065874,3,1017566.1949289481
2024-03-12,983789.2028980285,117645.4506065874,3,1019499.9794618369
2024-03-13,981558.0868352139,117645.4506065874,3,1019274.8625705296
2024-03-14,964194.5258954172,117645.4506065874,3,1015535.614424085
2024-03-15,979516.1728250874,118979.30569898392,3,1019289.7449911047
2024-03-18,988811.2019339309,118979.30569898392,3,1013817.7752443466
2024-03-19,995513.0783786658,118979.30569898392,3,1013820.2240296158
2024-03-20,986495.1871489435,118979.30569898392,3,1016607.238941328
2024-03-21,985436.6314960899,118979.30569898392,3,1017344.8051500643
2024-03-22,987482.2864270932,110990.2505025556,3,1020851.5769188254
2024-03-25,998675.5163930635,110990.2505025556,3,1024001.1332655464
2024-03-26,992141.8552141205,110990.2505025556,3,1023344.4048286781
2024-03-27,1000970.8935317121,110990.2505025556,3,1026752.3922925857
2024-03-28,996811.3216805013,110990.2505025556,3,1026672.7582990362
2024-03-29,985440.2357520027,110990.2505025556,3,1026730.7901216167
2024-04-01,973864.0387724288,110990.2505025556,3,1019600.7435339683
2024-04-02,966430.0655129828,156537.15240446126,3,1020705.1424867878
2024-04-03,967314.5135933645,156537.15240446126,3,1027865.6492740002
2024-04-04,955048.6473667958,156537.15240446126,3,1018200.4068230913
2024-04-05,956776.4770788004,156537.15240446126,3,1006442.5691484641
2024-04-08,956796.8287421198,156537.15240446126,3,1010266.9824247248
2024-04-09,958120.0704012994,156537.15240446126,3,1009201.8612621349
2024-04-10,969669.660999114,156537.15240446126,3,1014956.8121107656
2024-04-11,988473.7877751697,156537.15240446126,3,1019134.8387012181
2024-04-12,992404.8671692815,156537.15240446126,3,1018564.5947683394
2024-04-15,1005860.7422292274,156537.15240446126,3,1020363.2761901229
2024-04-16,996336.7852325845,156537.15240446126,3,1018151.2752119357
2024-04-17,1000162.874925853,156537.15240446126,3,1019802.0194448009
2024-04-18,1006892.6903975301,156537.15240446126,3,1020303.9318802888
2024-04-19,997647.785386418,156537.15240446126,3,1015265.9391128984
2024-04-22,1008780.5537523548,156537.15240446126,3,1014110.3704478111
2024-04-23,1024120.9000509798,156537.15240446126,3,1021124.6399061976
2024-04-24,1027221.7811992285,156537.15240446126,3,1025384.7509206667
2024-04-25,1047175.9944131507,156537.15240446126,3,1038665.613647019
2024-04-26,1056569.7581638512,156537.15240446126,3,1042694.8173222517
2024-04-29,1075330.9451525894,156537.15240446126,3,1052046.7889200845
2024-04-30,1075842.2771941994,156537.15240446126,3,1059702.6562221048
2024-05-01,1079622.4539579388,156537.15240446126,3,1065594.639980107
2024-05-02,1097343.925356421,156537.15240446126,3,1074429.4668791248
2024-05-03,1105393.2119330445,156537.15240446126,3,1082463.263668649
2024-05-06,1105053.8844638304,156537.15240446126,3,1072340.4355272092
2024-05-07,1097470.9032287344,156537.15240446126,3,1064870.3515898683
2024-05-08,1083733.1190484061,156537.15240446126,3,1060663.1638177773
2024-05-09,1096558.2750553936,156537.15240446126,3,1063823.293392028
2024-05-10,1095106.1536583095,156537.15240446126,3,1067451.5771117827
2024-05-13,1094937.6163637377,156537.15240446126,3,1065862.7122350088
2024-05-14,1095553.4589455246,156537.15240446126,3,1067024.1059412626
2024-05-15,1086058.9419561166,156537.15240446126,3,1069781.123564941
2024-05-16,1095679.0796580445,156537.15240446126,3,1069199.693030178
2024-05-17,1105503.4105851466,156537.15240446126,3,1069516.612350071
2024-05-20,1108958.0966443284,156537.15240446126,3,1072102.1251979254
2024-05-21,1108482.2166461947,156537.15240446126,3,1064301.0777714876
2024-05-22,1100992.509152009,156537.15240446126,3,1064659.866315863
2024-05-23,1098415.9394895167,156537.15240446126,3,1064319.0893523751
2024-05-24,1097655.6911339697,156537.15240446126,3,1057212.4476081617
2024-05-27,1101557.8558284093,156537.15240446126,3,1064184.36778564
2024-05-28,1113663.6689462787,156537.15240446126,3,1075349.5817783326
2024-05-29,1102261.0131615675,156537.15240446126,3,1074384.6392369946
2024-05-30,1102561.2451570623,156537.15240446126,3,1075446.084453241
2024-05-31,1086799.1516224386,156537.15240446126,3,1075839.7543845063
2024-06-03,1083910.572927258,156537.15240446126,3,1077444.7791919431
2024-06-04,1086039.8002521403,156537.15240446126,3,1089363.7548712767
2024-06-05,1083834.32947776,156537.15240446126,3,1084169.9353829103
2024-06-06,1090036.408789085,156537.15240446126,3,1089523.8571003943
2024-06-07,1079434.4226211614,156537.15240446126,3,1086562.3889159833
2024-06-10,1082024.270159635,156537.15240446126,3,1090570.3400112567
2024-06-11,1083291.0846515086,156537.15240446126,3,1097268.5613894186
2024-06-12,1084312.8524580712,156537.15240446126,3,1095823.9534901278
2024-06-13,1090332.3284915057,156537.15240446126,3,1094204.9254918806
2024-06-14,1088188.527814175,156537.15240446126,3,1084243.7541533562
2024-06-17,1079728.7748577425,156537.15240446126,3,1077694.6797058326
2024-06-18,1072856.3082747278,156537.15240446126,3,1081669.2701319428
2024-06-19,1075577.8549644302,156537.15240446126,3,1078977.3598253045
2024-06-20,1080058.6283502397,156537.15240446126,3,1086927.449808645
2024-06-21,1095215.8939321842,156537.15240446126,3,1085846.4090492297
2024-06-24,1098938.403810668,156537.15240446126,3,1082957.511963006
2024-06-25,1096377.8661544865,156537.15240446126,3,1079195.561020757
2024-06-26,1094549.8103946699,156537.15240446126,3,1071288.8096633602
2024-06-27,1095982.6124120627,156537.15240446126,3,1071687.9982878116
2024-06-28,1105713.6274893272,156537.15240446126,3,1075858.8141288245
2024-07-01,1116143.3722203188,156537.15240446126,3,1078293.1098318566
2024-07-02,1121634.6503866338,156537.15240446126,3,1074797.8548370856
2024-07-03,1123051.3332841883,156537.15240446126,3,1075741.8073073898
2024-07-04,1126109.7120721003,156537.15240446126,3,1079402.946134587
2024-07-05,1116138.8834034463,156537.15240446126,3,1073102.2618745556
2024-07-08,1131061.6287886621,156537.15240446126,3,1076798.1812924556
2024-07-09,1137459.124666762,156537.15240446126,3,1090130.0827742303
2024-07-10,1139917.2772744037,156537.15240446126,3,1089578.3467677068
2024-07-11,1145944.1226697986,156537.15240446126,3,1091575.296291225
2024-07-12,1146417.319514002,156537.15240446126,3,1089471.511855328
2024-07-15,1150339.1228309497,156537.15240446126,3,1090508.3572592193
2024-07-16,1165243.6437185376,156537.15240446126,3,1092662.013766797
2024-07-17,1166491.8173517922,156537.15240446126,3,1090280.9548400426
2024-07-18,1149941.261543889,156537.15240446126,3,1085115.3072095641
2024-07-19,1157048.4082492753,156537.15240446126,3,1087547.4056455751
2024-07-22,1156217.3355391917,156537.15240446126,3,1092297.199102733
2024-07-23,1148434.7140848448,156537.15240446126,3,1092002.032948946
2024-07-24,1150137.9683215553,156537.15240446126,3,1099823.0191066456
2024-07-25,1153240.5969496288,156537.15240446126,3,1100697.419491278
2024-07-26,1146046.93153832,156537.15240446126,3,1099574.7259724769
2024-07-29,1148224.3176951075,156537.15240446126,3,1105182.6790006026
2024-07-30,1143916.0168470242,156537.15240446126,3,1106049.268865181
2024-07-31,1162953.2405262522,156537.15240446126,3,1113932.8573920568
2024-08-01,1151150.9472923377,156537.15240446126,3,1108688.6518914548
2024-08-02,1158851.2625535075,156537.15240446126,3,1110739.7097691158
2024-08-05,1152662.279846889,156537.15240446126,3,1107454.1444318427
2024-08-06,1158998.4291090954,156537.15240446126,3,1102956.7917582572
2024-08-07,1166279.3416094093,156537.15240446126,3,1106139.0539212816
2024-08-08,1161441.890884342,156537.15240446126,3,1105555.509330686
2024-08-09,1164907.3000885996,156537.15240446126,3,1106754.3287203
2024-08-12,1162547.5440396764,156537.15240446126,3,1113059.0138820254
2024-08-13,1159549.4438300738,156537.15240446126,3,1110983.4335485823
2024-08-14,1167708.336139132,156537.15240446126,3,1115079.6192559837
2024-08-15,1169525.5694228807,156537.15240446126,3,1111747.7986366986
2024-08-16,1165166.3660948693,156537.15240446126,3,1111628.9299243228
2024-08-19,1164847.2948074804,156537.15240446126,3,1116065.233752524
2024-08-20,1172460.7440548574,156537.15240446126,3,1118447.8077412986
2024-08-21,1164178.4590734956,156537.15240446126,3,1119425.4506827535
2024-08-22,1168613.1688468102,156537.15240446126,3,1121593.821244386
2024-08-23,1158688.8021717884,156537.15240446126,3,1107421.9294249807
2024-08-26,1158699.3441000127,156537.15240446126,3,1106223.4898033661
2024-08-27,1150534.7344676596,156537.15240446126,3,1100746.8987009316
2024-08-28,1161881.443538388,156537.15240446126,3,1112614.5473725838
2024-08-29,1156151.6330451148,156537.15240446126,3,1119506.3192069533
2024-08-30,1164555.2098017358,156537.15240446126,3,1124182.4874104222
2024-09-02,1171404.4274366617,156537.15240446126,3,1122815.904917143
2024-09-03,1171306.4627319796,156537.15240446126,3,1132298.7365383164
2024-09-04,1180288.506083173,156537.15240446126,3,1133981.7739922686
2024-09-05,1192445.0948581821,156537.15240446126,3,1141676.5429377533
2024-09-06,1197188.0906071838,156537.15240446126,3,1148450.4189008789
2024-09-09,1194988.051591275,156537.15240446126,3,1153590.568533142
2024-09-10,1188368.9553310233,156537.15240446126,3,1146109.7461709254
2024-09-11,1185716.753214361,156537.15240446126,3,1139481.2294277516
2024-09-12,1199815.5384594204,156537.15240446126,3,1148042.7382270864
2024-09-13,1203852.235866595,156537.15240446126,3,1159496.1480003474
2024-09-16,1203123.6935585074,156537.15240446126,3,1160360.0221784292
2024-09-17,1209060.280685168,156537.15240446126,3,1162758.6164136217
2024-09-18,1222776.0291936982,156537.15240446126,3,1173983.3759438463
2024-09-19,1228675.849837061,156537.15240446126,3,1177514.5336357325
2024-09-20,1229072.2625215354,156537.15240446126,3,1179569.545995251
2024-09-23,1229524.3357158015,156537.15240446126,3,1177689.0580106445
2024-09-24,1231365.2773465058,156537.15240446126,3,1181701.3590451998
2024-09-25,1229098.4342160798,156537.15240446126,3,1181751.2201685838
2024-09-26,1227973.7901859547,156537.15240446126,3,1186599.3628546041
2024-09-27,1237919.6329774442,156537.15240446126,3,1188702.0198055126
2024-09-30,1238389.4443092686,156537.15240446126,3,1186231.9061775012
2024-10-01,1242751.6440575714,156537.15240446126,3,1186303.7437856686
2024-10-02,1242698.6689809964,156537.15240446126,3,1187722.29832263
2024-10-03,1245031.7521848565,156537.15240446126,3,1187370.6161698757
2024-10-04,1243523.6451020914,156537.15240446126,3,1180711.5724620165
2024-10-07,1255306.8956604917,156537.15240446126,3,1187875.2816513136
2024-10-08,1249581.7659360566,156537.15240446126,3,1189255.0828686538
2024-10-09,1251376.0404554256,156537.15240446126,3,1191091.3868633234
2024-10-10,1240267.8577465184,156537.15240446126,3,1188861.9803947152
