date,action,symbol,name,shares,price,up_prob,fee,realized_pnl,cash_after,top_shap,reason
2024-01-31,BUY,9432.T,日本電信電話（NTT）,100,2651.17,0.5347,132.56,,734750.61,"return_1d(+0.021), volume_change_1d(-0.015), return_5d(+0.010)",上昇確率上位
2024-01-31,BUY,6501.T,日立製作所,100,2339.89,0.524,116.99,,500644.81,"high_low_range(-0.063), return_5d(-0.025), rsi14(+0.024)",上昇確率上位
2024-01-31,BUY,8035.T,東京エレクトロン,100,3815.83,0.5233,190.79,,118871.0,"ma5_over_ma25(-0.017), volatility_10d(-0.009), volume_change_1d(-0.006)",上昇確率上位
2024-03-07,SELL,6501.T,日立製作所,100,2350.68,0.4828,117.53,844.81,353821.61,"high_low_range(-0.060), return_10d(-0.030), rsi14(-0.030)",下落予測に転換
2024-03-07,BUY,7203.T,トヨタ自動車,100,2360.58,0.5622,118.03,,117645.45,"return_5d(+0.119), volume_ratio_5d(-0.064), rsi14(-0.049)",上昇確率上位
2024-03-15,SELL,7203.T,トヨタ自動車,100,2355.28,0.43,117.76,-766.09,353055.52,"return_1d(-0.155), rsi14(-0.094), volume_ratio_5d(-0.075)",下落予測に転換
2024-03-15,BUY,8306.T,三菱UFJフィナンシャル・グループ,100,2339.59,0.5142,116.98,,118979.31,"high_low_range(+0.016), volume_change_1d(-0.014), return_1d(+0.013)",上昇確率上位
2024-03-22,SELL,8306.T,三菱UFJフィナンシャル・グループ,100,2407.39,0.4978,120.37,6542.09,359597.61,"high_low_range(-0.051), volume_change_1d(+0.021), ma25_dev(-0.012)",下落予測に転換
2024-03-22,BUY,6501.T,日立製作所,100,2484.83,0.5281,124.24,,110990.25,"ma5_over_ma25(-0.024), ma5_dev(+0.016), return_5d(-0.014)",上昇確率上位
2024-04-02,SELL,6501.T,日立製作所,100,2468.5,0.4889,123.43,-1880.78,357716.83,"high_low_range(-0.067), ma5_over_ma25(-0.037), return_10d(-0.026)",下落予測に転換
2024-04-02,BUY,6861.T,キーエンス,100,2010.79,0.5149,100.54,,156537.15,"return_1d(+0.017), volatility_10d(-0.002), ma5_dev(-0.001)",上昇確率上位
2024-12-25,SELL,9432.T,日本電信電話（NTT）,100,3306.07,0.4999,165.3,65192.36,486978.91,"volume_change_1d(-0.026), return_5d(-0.025), volume_ratio_5d(-0.019)",下落予測に転換
2024-12-25,BUY,9984.T,ソフトバンクグループ,100,2143.1,0.5058,107.16,,272561.55,"volume_ratio_5d(+0.021), ma25_dev(+0.008), return_1d(+0.002)",上昇確率上位
2024-12-26,SELL,9984.T,ソフトバンクグループ,100,2119.38,0.4967,105.97,-2585.29,484393.61,"ma5_over_ma25(-0.009), volatility_10d(+0.008), volume_ratio_5d(-0.005)",下落予測に転換
2024-12-26,BUY,9432.T,日本電信電話（NTT）,100,3346.3,0.5244,167.31,,149596.69,"ma5_over_ma25(-0.022), high_low_range(+0.018), volume_change_1d(-0.013)",上昇確率上位
2025-06-27,SELL,8035.T,東京エレクトロン,100,5772.51,0.5244,288.63,195188.79,726559.29,"rsi14(-0.029), return_1d(-0.016), ma5_over_ma25(+0.012)",最終日クローズ
2025-06-27,SELL,6861.T,キーエンス,100,3240.55,0.5199,162.03,122713.1,1050452.07,"return_1d(+0.021), ma5_dev(+0.017), volatility_10d(-0.005)",最終日クローズ
2025-06-27,SELL,9432.T,日本電信電話（NTT）,100,2974.25,0.5332,148.71,-37521.02,1347727.96,"rsi14(+0.020), ma5_over_ma25(-0.018), volume_change_1d(+0.017)",最終日クローズ
